"","COD_DISCIPLINA","ANO","SEMESTRE","NOME_DISCIPLINA","SIGLA","TOTAL_ALUNOS","NOME_CURSO","Sem"
"1","CAD1002",2022,"2. Semestre","TEORIA GERAL DA ADMINISTRAÇÃO","Dispensado",1,"Ciência da Computação - Bacharelado","DCG"
"2","CAD1002",2022,"1. Semestre","TEORIA GERAL DA ADMINISTRAÇÃO","Dispensado",1,"Ciência da Computação - Bacharelado","DCG"
"3","CAD1042",2021,"2. Semestre","GESTÃO DE PESSOAS ""A""","Aprovado",2,"Ciência da Computação - Bacharelado","DCG"
"4","CAD1042",2022,"2. Semestre","GESTÃO DE PESSOAS ""A""","Aprovado",1,"Ciência da Computação - Bacharelado","DCG"
"5","CAD1042",2022,"2. Semestre","GESTÃO DE PESSOAS ""A""","Dispensado",1,"Ciência da Computação - Bacharelado","DCG"
"6","CAD1043",2022,"1. Semestre","MARKETING ""C""","Dispensado",1,"Ciência da Computação - Bacharelado","DCG"
"7","CAD1043",2021,"1. Semestre","MARKETING ""C""","Reprovado",1,"Ciência da Computação - Bacharelado","DCG"
"8","CAD1044",2022,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",22,"Ciência da Computação - Bacharelado","DCG"
"9","CAD1044",2014,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",11,"Ciência da Computação - Bacharelado","DCG"
"10","CAD1044",2017,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",12,"Ciência da Computação - Bacharelado","DCG"
"11","CAD1044",2014,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",2,"Ciência da Computação - Bacharelado","DCG"
"12","CAD1044",2014,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",24,"Ciência da Computação - Bacharelado","DCG"
"13","CAD1044",2021,"2. Semestre","EMPREENDEDORISMO ""B""","Reprovado",2,"Ciência da Computação - Bacharelado","DCG"
"14","CAD1044",2019,"2. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",5,"Ciência da Computação - Bacharelado","DCG"
"15","CAD1044",2016,"2. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",2,"Ciência da Computação - Bacharelado","DCG"
"16","CAD1044",2023,"2. Semestre","EMPREENDEDORISMO ""B""","Tr.Parcial",2,"Ciência da Computação - Bacharelado","DCG"
"17","CAD1044",2021,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",14,"Ciência da Computação - Bacharelado","DCG"
"18","CAD1044",2020,"1. Semestre","EMPREENDEDORISMO ""B""","Incompleto",7,"Ciência da Computação - Bacharelado","DCG"
"19","CAD1044",2014,"2. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",6,"Ciência da Computação - Bacharelado","DCG"
"20","CAD1044",2019,"2. Semestre","EMPREENDEDORISMO ""B""","Reprovado",2,"Ciência da Computação - Bacharelado","DCG"
"21","CAD1044",2019,"1. Semestre","EMPREENDEDORISMO ""B""","Tr.Parcial",2,"Ciência da Computação - Bacharelado","DCG"
"22","CAD1044",2019,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",2,"Ciência da Computação - Bacharelado","DCG"
"23","CAD1044",2018,"2. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",5,"Ciência da Computação - Bacharelado","DCG"
"24","CAD1044",2017,"2. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",3,"Ciência da Computação - Bacharelado","DCG"
"25","CAD1044",2016,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",19,"Ciência da Computação - Bacharelado","DCG"
"26","CAD1044",2022,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",10,"Ciência da Computação - Bacharelado","DCG"
"27","CAD1044",2018,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",7,"Ciência da Computação - Bacharelado","DCG"
"28","CAD1044",2016,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",4,"Ciência da Computação - Bacharelado","DCG"
"29","CAD1044",2016,"1. Semestre","EMPREENDEDORISMO ""B""","Tr.Parcial",2,"Ciência da Computação - Bacharelado","DCG"
"30","CAD1044",2020,"2. Semestre","EMPREENDEDORISMO ""B""","Reprovado",1,"Ciência da Computação - Bacharelado","DCG"
"31","CAD1044",2019,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",12,"Ciência da Computação - Bacharelado","DCG"
"32","CAD1044",2018,"1. Semestre","EMPREENDEDORISMO ""B""","Reprovado",1,"Ciência da Computação - Bacharelado","DCG"
"33","CAD1044",2023,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",4,"Ciência da Computação - Bacharelado","DCG"
"34","CAD1044",2019,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",19,"Ciência da Computação - Bacharelado","DCG"
"35","CAD1044",2022,"2. Semestre","EMPREENDEDORISMO ""B""","Tr.Parcial",1,"Ciência da Computação - Bacharelado","DCG"
