"","COD_DISCIPLINA","ANO","SEMESTRE","NOME_DISCIPLINA","SIGLA","TOTAL_ALUNOS","Sem"
"1","CAD1002",2022,"1. Semestre","TEORIA GERAL DA ADMINISTRAÇÃO","Dispensado",1,"DCG"
"2","CAD1002",2022,"2. Semestre","TEORIA GERAL DA ADMINISTRAÇÃO","Dispensado",1,"DCG"
"3","CAD1042",2022,"2. Semestre","GESTÃO DE PESSOAS ""A""","Aprovado",1,"DCG"
"4","CAD1042",2021,"2. Semestre","GESTÃO DE PESSOAS ""A""","Aprovado",2,"DCG"
"5","CAD1042",2022,"2. Semestre","GESTÃO DE PESSOAS ""A""","Dispensado",1,"DCG"
"6","CAD1043",2022,"1. Semestre","MARKETING ""C""","Dispensado",1,"DCG"
"7","CAD1043",2021,"1. Semestre","MARKETING ""C""","Reprovado",1,"DCG"
"8","CAD1044",2014,"2. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",6,"DCG"
"9","CAD1044",2014,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",2,"DCG"
"10","CAD1044",2021,"2. Semestre","EMPREENDEDORISMO ""B""","Reprovado",2,"DCG"
"11","CAD1044",2022,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",10,"DCG"
"12","CAD1044",2021,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",14,"DCG"
"13","CAD1044",2017,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",12,"DCG"
"14","CAD1044",2021,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",8,"DCG"
"15","CAD1044",2014,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",11,"DCG"
"16","CAD1044",2022,"2. Semestre","EMPREENDEDORISMO ""B""","Tr.Parcial",1,"DCG"
"17","CAD1044",2016,"1. Semestre","EMPREENDEDORISMO ""B""","Tr.Parcial",2,"DCG"
"18","CAD1044",2016,"2. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",2,"DCG"
"19","CAD1044",2014,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",24,"DCG"
"20","CAD1044",2022,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",22,"DCG"
"21","CAD1044",2022,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",5,"DCG"
"22","CAD1044",2019,"1. Semestre","EMPREENDEDORISMO ""B""","Tr.Parcial",2,"DCG"
"23","CAD1044",2016,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",19,"DCG"
"24","CAD1044",2019,"2. Semestre","EMPREENDEDORISMO ""B""","Reprovado",2,"DCG"
"25","CAD1044",2019,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",2,"DCG"
"26","CAD1044",2019,"2. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",5,"DCG"
"27","CAD1044",2019,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",12,"DCG"
"28","CAD1044",2016,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",10,"DCG"
"29","CAD1044",2018,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",7,"DCG"
"30","CAD1044",2018,"1. Semestre","EMPREENDEDORISMO ""B""","Reprovado",1,"DCG"
"31","CAD1044",2016,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",4,"DCG"
"32","CAD1044",2017,"2. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",3,"DCG"
"33","CAD1044",2017,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",1,"DCG"
"34","CAD1044",2015,"2. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",4,"DCG"
"35","CAD1044",2019,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",19,"DCG"
"36","CAD1044",2018,"2. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",5,"DCG"
"37","CAD1044",2021,"1. Semestre","EMPREENDEDORISMO ""B""","Reprovado",7,"DCG"
"38","CAD1044",2017,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",18,"DCG"
"39","CAD1044",2015,"1. Semestre","EMPREENDEDORISMO ""B""","Reprovado",2,"DCG"
"40","CAD1044",2020,"2. Semestre","EMPREENDEDORISMO ""B""","Reprovado",1,"DCG"
"41","CAD1044",2015,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",8,"DCG"
"42","CAD1044",2018,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",19,"DCG"
"43","CAD1044",2015,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",18,"DCG"
"44","CAD1044",2018,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",3,"DCG"
"45","CAD1044",2020,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",13,"DCG"
"46","CAD1044",2020,"1. Semestre","EMPREENDEDORISMO ""B""","Incompleto",7,"DCG"
"47","CAD1044",2015,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",2,"DCG"
"48","CAD1044",2020,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",7,"DCG"
"49","CAD1092",2021,"2. Semestre","GESTÃO DE PESSOAS","Aprovado",1,"Inativo"
"50","CAD1124",2022,"2. Semestre","MARKETING DIGITAL","Aprovado",1,"Inativo"
"51","CIE1002",2022,"1. Semestre","TEORIA ECONÔMICA","Dispensado",1,"DCG"
"52","CIE1002",2021,"1. Semestre","TEORIA ECONÔMICA","Reprovado",1,"DCG"
"53","CLM1035",2022,"2. Semestre","TECNOLOGIAS DE INFORMAÇÃO E COMPUTAÇÃO APLICADA EM SAÚDE","Aprovado",1,"Inativo"
"54","CSEE4010",2021,"2. Semestre","CÁLCULO ""B""","Aprovado",1,"Inativo"
"55","DAU1069",2022,"1. Semestre","HISTÓRIA DA ARQUITETURA MODERNA","Repr.Freq",1,"Inativo"
"56","DCG2038",2022,"2. Semestre","TÓPICOS EM CIÊNCIAS SOCIAIS E HUMANAS","Dispensado",1,"DCG"
"57","DCG2252",2021,"1. Semestre","WEB DESIGN","Aprovado",1,"Inativo"
"58","DCOM1000",2018,"2. Semestre","GERÊNCIA DE REDES ""A""","Repr.Freq",2,"DCG"
"59","DCOM1000",2019,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",11,"DCG"
"60","DCOM1000",2021,"2. Semestre","GERÊNCIA DE REDES ""A""","Reprovado",4,"DCG"
"61","DCOM1000",2020,"2. Semestre","GERÊNCIA DE REDES ""A""","Reprovado",5,"DCG"
"62","DCOM1000",2018,"2. Semestre","GERÊNCIA DE REDES ""A""","Reprovado",1,"DCG"
"63","DCOM1000",2016,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",3,"DCG"
"64","DCOM1000",2021,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",8,"DCG"
"65","DCOM1000",2022,"2. Semestre","GERÊNCIA DE REDES ""A""","Repr.Freq",4,"DCG"
"66","DCOM1000",2017,"2. Semestre","GERÊNCIA DE REDES ""A""","Tr.Parcial",1,"DCG"
"67","DCOM1000",2022,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",6,"DCG"
"68","DCOM1000",2018,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",3,"DCG"
"69","DCOM1000",2016,"2. Semestre","GERÊNCIA DE REDES ""A""","Tr.Parcial",1,"DCG"
"70","DCOM1000",2017,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",5,"DCG"
"71","DCOM1000",2016,"2. Semestre","GERÊNCIA DE REDES ""A""","Repr.Freq",4,"DCG"
"72","DCOM1000",2015,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",2,"DCG"
"73","DCOM1000",2020,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",5,"DCG"
"74","DCOM1000",2017,"2. Semestre","GERÊNCIA DE REDES ""A""","Repr.Freq",4,"DCG"
"75","DCOM1001",2022,"2. Semestre","MARATONA DE PROGRAMAÇÃO","Aprovado",10,"DCG"
"76","DCOM3105",2017,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Tr.Parcial",1,"DCG"
"77","DCOM3105",2019,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Reprovado",4,"DCG"
"78","DCOM3105",2022,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Repr.Freq",2,"DCG"
"79","DCOM3105",2017,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Reprovado",2,"DCG"
"80","DCOM3105",2018,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Repr.Freq",1,"DCG"
"81","DCOM3105",2019,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",1,"DCG"
"82","DCOM3105",2018,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Tr.Parcial",3,"DCG"
"83","DCOM3105",2018,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",1,"DCG"
"84","DCOM3105",2021,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Reprovado",3,"DCG"
"85","DCOM3105",2017,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",1,"DCG"
"86","DCOM3105",2020,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",2,"DCG"
"87","DCOM3105",2022,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Tr.Parcial",4,"DCG"
"88","DCOM3105",2020,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Incompleto",5,"DCG"
"89","DCOM3105",2017,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Repr.Freq",4,"DCG"
"90","DCOM3105",2022,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",1,"DCG"
"91","DCOM3105",2019,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Tr.Parcial",4,"DCG"
"92","DCOM3110",2022,"1. Semestre","DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL","Repr.Freq",2,"Inativo"
"93","DCOM3110",2022,"1. Semestre","DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL","Aprovado",1,"Inativo"
"94","DDI022",2020,"2. Semestre","COMPUTAÇÃO GRÁFICA II","Reprovado",2,"Inativo"
"95","DLSC808",2019,"2. Semestre","INTERNET DAS COISAS","Repr.Freq",2,"DCG"
"96","DLSC808",2019,"2. Semestre","INTERNET DAS COISAS","Aprovado",16,"DCG"
"97","DLSC808",2022,"1. Semestre","INTERNET DAS COISAS","Aprovado",8,"DCG"
"98","DLSC808",2022,"2. Semestre","INTERNET DAS COISAS","Aprovado",6,"DCG"
